Date,Granite,Northing ,Easting,LS/ BG/ NE,Camera,Video file name,Date,Video start,Time start,Time end,Reptiles?,Species,No. individuals,Activity,Weather,Notes
"Tuesday, 24 August 2021",Gull Rock,,,LS,3,20210824 1533 Gull Rock Timelapse Camera 3,24/08/2021,09:52:16,14:25:08,14:25:30,Y,Crevice skink?,1,On LLS,Sunny,
"Tuesday, 24 August 2021",Gull Rock,,,LS,3,20210824 1533 Gull Rock Timelapse Camera 3,24/08/2021,09:52:16,14:34:35,14:40:22,Y,Crevice skink?,3,"2 lizards on loose slab, then both under. One basking.",Sunny,
"Tuesday, 24 August 2021",Gull Rock,,,LS,3,20210824 1533 Gull Rock Timelapse Camera 3,24/08/2021,09:52:16,14:45:25,14:56:17,Y,Red-legged skink? (smaller),1,Running between LS,Sunny,
"Tuesday, 24 August 2021",Gull Rock,,,LS,3,20210824 1533 Gull Rock Timelapse Camera 3,24/08/2021,09:52:16,15:05:26,15:06:54,Y,Red-legged skink? (smaller),1,Basking on loose slab,Sunny,
"Tuesday, 24 August 2021",Gull Rock,,,LS,3,20210825 0928 Gull Rock Timelapse Camera 3,24/08/2021,15:33:39,15:43:19,15:43:18,Y,Red-legged skink? (smaller),1,Running,Sunny,
"Tuesday, 24 August 2021",Gull Rock,,,LS,3,20210825 0928 Gull Rock Timelapse Camera 3,24/08/2021,15:33:39,16:59:18,16:59:22,Y,Unidentified,1,Running between rocks,Sunny,
"Tuesday, 24 August 2021",Gull Rock,,,LS,3,20210825 0928 Gull Rock Timelapse Camera 3,24/08/2021,15:33:39,17:02:18,17:03:29,Y,Crevice skink,1,"Emerged from under boulder, then back under",Sunny,
"Tuesday, 24 August 2021",Gull Rock,,,LS,3,20210825 0928 Gull Rock Timelapse Camera 3,24/08/2021,15:33:39,17:24:27,17:24:37,N,Grey fan tail,1,"Stood on boulder, flew off",Sunny,
"Wednesday, 25 August 2021",Gull Rock,,,LS,3,20210825 1509 Gull Rock Timelapse Camera 3,25/08/2021,09:28:21,09:48:53,10:01:05,Y,Crevice Skink,1,Emerged from under boulder to bask,Sunny,
"Wednesday, 25 August 2021",Gull Rock,,,LS,3,20210825 1509 Gull Rock Timelapse Camera 3,25/08/2021,09:28:21,09:54:25,09:55:23,Y,Red-legged skink? (smaller),1,Emerged from under loose slab,Sunny,
"Wednesday, 25 August 2021",Gull Rock,,,LS,3,20210825 1509 Gull Rock Timelapse Camera 3,25/08/2021,09:28:21,10:38:45,11:31:20,Y,Crevice skink?,2,Basking,Sunny,
"Wednesday, 25 August 2021",Gull Rock,,,LS,3,20210825 1509 Gull Rock Timelapse Camera 3,25/08/2021,09:28:21,11:43:29,11:43:40,Y,Crevice skink?,1,Ran between rocks,Sunny,
"Wednesday, 25 August 2021",Gull Rock,,,LS,3,20210825 1509 Gull Rock Timelapse Camera 3,25/08/2021,09:28:21,13:56:52,13:56:56,Y,Red-legged skink? (smaller),1,Ran under boulder,Sunny,
"Wednesday, 25 August 2021",Gull Rock,,,LS,3,20210825 1509 Gull Rock Timelapse Camera 3,25/08/2021,09:28:21,14:26:56,14:27:21,Y,Unidentified,1,Ran between rocks,Sunny,
"Wednesday, 25 August 2021",Gull Rock,,,LS,3,20210826 0909 Gull Rock Timelapse Camera 3,25/08/2021,15:09:44,16:07:04,16:07:20,Y,Red-legged skink? (smaller),1,Emerged from under boulder,Sunny,
"Wednesday, 25 August 2021",Gull Rock,,,LS,3,20210826 0909 Gull Rock Timelapse Camera 3,25/08/2021,15:09:44,16:07:32,16:08:29,Y,Crevice Skink?,1,Ran between rocks and under loose slab,Sunny,
"Wednesday, 25 August 2021",Gull Rock,,,LS,3,20210826 0909 Gull Rock Timelapse Camera 3,25/08/2021,15:09:44,16:45:49,16:46:01,N,Silver eye,1,Sat on boulder,Sunny,
"Wednesday, 25 August 2021",Gull Rock,,,LS,3,20210826 0909 Gull Rock Timelapse Camera 3,25/08/2021,15:09:44,17:05:17,17:05:28,Y,Unidentified,1,Ran from loose slab to boulder,Sunny,
"Thursday, 26 August 2021",Gull Rock,,,LS,3,20210826 1450 Gull Rock Timelapse Camera 3,26/08/2021,09:09:21,10:14:24,10:23:49,Y,Red-legged skink? (smaller),1,"Emerged from under loose slab, basking",Overcast,
"Thursday, 26 August 2021",Gull Rock,,,LS,3,20210826 1450 Gull Rock Timelapse Camera 3,26/08/2021,09:09:21,11:29:35,12:30:45,Y,Crevice skink,1,"Basking between LLS and boulder, moved when rain began",Cloudy/ sunny,
"Thursday, 26 August 2021",Gull Rock,,,LS,3,20210826 1450 Gull Rock Timelapse Camera 3,26/08/2021,09:09:21,12:19:49,12:20:18,Y,Crevice skink,1,"2nd lizard, ran from under LS to boulder",Cloudy/ sunny,
"Friday, 27 August 2021",Gull Rock,,,LS,3,20210827 0849 Gull Rock Timelapse Camera 3,,,,,N,,,,Overcast/ rain/ some sun,
"Friday, 27 August 2021",Gull Rock,,,LS,3,20210827 1431 Gull Rock Timelapse Camera 3,,,,,N,,,,Rain/ overcast,
"Saturday, 28 August 2021",Gull Rock,,,LS,3,20210828 0826 Gull Rock Timelapse Camera 3,,,,,N,,,,Overcast,
"Saturday, 28 August 2021",Gull Rock,,,LS,3,20210828 1007 Gull Rock Timelapse Camera 3,,,,,N,,,,Overcast,
"Sunday, 22 August 2021",Gull Rock,,,BG,4,20210822 1639 Gull Rock Timelapse Camera 4,,,,,N,,,,,
"Monday, 20 September 2021",Waychinicup,,,LS,1,20210920 Waychinicup Camera1 14.00 to 16.23,20/09/2021,14:00:21,14:12:05,14:22:53,,Egernia kingii,1,"Emerges from under LT, basks in front of LT",Sunny,
"Monday, 20 September 2021",Waychinicup,,,LS,1,20210920 Waychinicup Camera1 14.00 to 16.23,20/09/2021,14:00:21,14:22:53,14:22:58,,Egernia kingii,1,"Climbs on top of LT, goes under LT",Sunny,
"Monday, 20 September 2021",Waychinicup,,,LS,1,20210920 Waychinicup Camera1 14.00 to 16.23,20/09/2021,14:00:21,14:23:20,14:25:28,,Egernia kingii,1,"Emerges from under LT, basks in front of LT",Sunny,
"Monday, 20 September 2021",Waychinicup,,,LS,1,20210920 Waychinicup Camera1 14.00 to 16.23,20/09/2021,14:00:21,14:25:28,14:28:24,,Egernia kingii,1,"Climbs on top of LT, basks on top of LT, climbs down and leaves frame",Sunny,
"Monday, 20 September 2021",Waychinicup,,,LS,1,20210920 Waychinicup Camera1 14.00 to 16.23,20/09/2021,14:00:21,15:19:35,15:19:42,,Small lizard in background,1,Climbs over loose surface rock,Sunny,
"Monday, 20 September 2021",Waychinicup,,,LS,1,20210920 Waychinicup Camera1 14.00 to 16.23,20/09/2021,14:00:21,15:36:57,15:38:25,,Egernia kingii,1,"Appears from same place it disappeared to, basks, then disappears behind LT",Sunny,
"Monday, 20 September 2021",Waychinicup,,,LS,1,20210920 Waychinicup Camera1 14.00 to 16.23,20/09/2021,14:00:21,15:44:42,15:55:36,,Egernia kingii,1,"Appears from under LT, basks. ",Sunny,
"Monday, 20 September 2021",Waychinicup,,,LS,1,20210920 Waychinicup Camera1 14.00 to 16.23,20/09/2021,14:00:21,15:55:36,16:10:28,,Egernia kingii,2,Another one emerges from under LT. They bask and follow each other in and out of LT. One goes back under LT.,Sunny,
"Monday, 20 September 2021",Waychinicup,,,LS,1,20210920 Waychinicup Camera1 14.00 to 16.23,20/09/2021,14:00:21,16:10:28,16:14:18,,Egernia kingii,1,"Bask, disappears behind LT",Sunny,
